COURSE NAME,CLUSTER,COURSE CODE,UNIVERSITY,CUT-OFF POINTS,MINIMUM SUBJECT REQUIREMENTS
BACHELOR IN BUSINESS ADMINISTRATION,2,1087151,Kisii University,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1530151,Marist International University College,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1229151,Maseno University,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1253151,Moi University,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1279151,Mount Kenya University,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1068447,Pan Africa Christian University,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1073151,Rongo University,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1063154,Technical University of Mombasa,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1500151,The East African University,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1515151,Tom Mboya University,-,
BACHELOR IN BUSINESS ADMINISTRATION,2,1570151,Turkana University College,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1181154,"University of Eastern Africa, Baraton (Office Admin)",21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1181151,"University of Eastern Africa, Baraton (Management)",21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1114151,University of Eldoret,21.375,
BACHELOR OF TOURISM MANAGEMENT,2,1600157,Alupe University,22.311,
BACHELOR OF TOURISM MANAGEMENT,2,1105222,Chuka University,24.284,
BACHELOR OF TOURISM MANAGEMENT,2,1080684,Co-operative University of Kenya,29.219,
BACHELOR OF TOURISM MANAGEMENT,2,1053235,Jaramogi Oginga Odinga University of Science and Technology,22.618,
BACHELOR OF TOURISM MANAGEMENT,2,1244157,Karatina University,23.831,
BACHELOR OF TOURISM MANAGEMENT,2,1077684,Kenya Methodist University,19.799,
BACHELOR OF TOURISM MANAGEMENT,2,1087234,Kisii University,22.277,
BACHELOR OF TOURISM MANAGEMENT,2,1165157,Maasai Mara University,27.437,
BACHELOR OF TOURISM MANAGEMENT,2,1253157,Moi University,22.365,
BACHELOR OF TOURISM MANAGEMENT,2,1253234,Moi University,22.292,
BACHELOR OF TOURISM MANAGEMENT,2,1279684,Mount Kenya University,22.158,
BACHELOR OF TOURISM MANAGEMENT,2,1246157,Murang'a University of Technology,22.257,
BACHELOR OF TOURISM MANAGEMENT,2,1246234,Murang'a University of Technology,22.316,
BACHELOR OF TOURISM MANAGEMENT,2,1073157,Rongo University,22.806,
BACHELOR OF TOURISM MANAGEMENT,2,1091684,Taita Taveta University,-,
BACHELOR OF TOURISM MANAGEMENT,2,1112157,Technical University of Kenya,28.064,
BACHELOR OF TOURISM MANAGEMENT,2,1063157,Technical University of Mombasa,23.801,
BACHELOR OF TOURISM MANAGEMENT,2,1114234,University of Eldoret,23.068,
BACHELOR OF TOURISM MANAGEMENT,2,1114157,University of Eldoret,23.155,
BACHELOR OF TOURISM MANAGEMENT,2,1118157,University of Kabianga,21.375,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1700189,Bomet University College,22.476,
BACHELOR OF SCIENCE IN HUMAN REOURCE MANAGEMENT,2,1080189,Co-operative University of Kenya,29.337,
